OTTime,OTCity,OTName,OTIndex,OTReviewCount,OTPrice,OTCuisine,OTLongitude,OTLatitude,OTAddress,OTPhoneNumber,OTMeanRating,OT1,OT2,OT3,OT4,OT5,OTLink,TATime,TACity,TAName,TAReviewCount,TAPrice,TACuisine,TALongitude,TALatitude,TAAddress,TAPhoneNumber,TARanking,TAMeanRating,TA1,TA2,TA3,TA4,TA5,TALink
Fri 04 Mar 2016 12:04:29,London,Buenos Aires - Chiswick,399,212,3,Argentinean,-0.255315,51.493352,"32 Turnham Green TerraceLondon,   W4 1QP",2087478772,3.9167,4,17,44,105,70,/buenos-aires-chiswick,Tue 08 Mar 2016 23:21:27,London,Buenos Aires Restaurant,122,4,Steakhouse,-0.2553,51.49346,"32 Turnham Green Terrace | Chiswick, London W4 1QP, England ",02077686451,2340,3.9024,6,6,25,43,43,/Restaurant_Review-g186338-d4242819-Reviews-Buenos_Aires_Restaurant-London_England.html
Fri 04 Mar 2016 12:04:57,London,Mill Lane Bistro,1470,128,3,French,-0.196061,51.552046,"77 Mill LaneLondon,   NW6 1NB",2077945577,4.0375,1,7,32,65,55,/mill-lane-bistro,Tue 08 Mar 2016 23:37:54,London,Mill Lane Bistro,79,3,French,-0.196004,51.552067,"77 Mill Lane | West Hampstead, London NW6 1NB, England ",442077945577,5198,3.963,5,9,8,21,38,/Restaurant_Review-g186338-d3989739-Reviews-Mill_Lane_Bistro-London_England.html
Fri 04 Mar 2016 12:07:18,London,Chapters All Day Dining,531,1337,2,British,0.008211,51.467649,"43 - 45 Montpelier ValeBlackheath VillageLondon,   SE3 0TJ",2083332666,4.2426,19,35,105,639,562,/chapters-all-day-dining,Tue 08 Mar 2016 22:43:37,London,Chapters,388,NotFound,British,0.008001,51.467613,"43-45 Montpelier Vale | Blackheath Village, London SE3 OTJ, England (Formerly Chapters All Day Dining)",02083332666,2085,3.8553,21,34,63,139,137,/Restaurant_Review-g186338-d1553075-Reviews-Chapters-London_England.html
Fri 04 Mar 2016 12:08:39,London,The Ivy Cafe - Marylebone,1113,64,3,British,-0.150786,51.517374,"96 Marylebone LaneLondon,   W1U 2QA",2033010400,4.025,2,0,16,38,24,/the-ivy-cafe-marylebone,Mon 07 Mar 2016 14:38:35,London,The Ivy Cafe,90,4,European,-0.15061,51.517483,"96 Marylebone Lane, London W1U 2QA, England ",442033010400,1116,4.1667,1,3,11,40,35,/Restaurant_Review-g186338-d8784792-Reviews-The_Ivy_Cafe-London_England.html
Fri 04 Mar 2016 12:11:36,London,Sixtyone,1974,432,3,ModernEuropean,-0.159171,51.515643,"61 Upper Berkley StreetLondon,   W1H 7PP",2079583222,4.3568,5,6,41,163,225,/sixtyone,Fri 04 Mar 2016 15:11:02,London,Sixtyone Restaurant,280,3,European,-0.15943,51.515354,"61 Upper Berkeley Street, London W1H 7PP, England ",442079583222,49,4.6607,3,4,12,47,214,/Restaurant_Review-g186338-d5484888-Reviews-Sixtyone_Restaurant-London_England.html
Fri 04 Mar 2016 12:12:07,London,Cafe Below,433,240,2,British,-0.093501,51.513817,"St Mary-le-Bow ChurchCheapsideLondon,   EC2V 6AU",2073290789,4.25,2,5,25,107,101,/cafe-below,Tue 08 Mar 2016 22:18:07,London,Cafe Below,76,2,European,-0.093502,51.513603,"St Mary le Bow church, Cheapside | Saint Mary le Bow Church, London EC2V 6AU, England ",02073290789,1854,4.1053,2,3,8,35,28,/Restaurant_Review-g186338-d807087-Reviews-Cafe_Below-London_England.html
Fri 04 Mar 2016 12:12:20,London,KIRU,1192,67,4,Japanese,-0.1661,51.490837,"2 Elystan StreetLondon,   SW3 3NS",2075849999,4.575,0,2,8,12,58,/kiru,Tue 08 Mar 2016 23:11:45,London,Kiru,38,NotFound,Japanese,-0.166016,51.490807,"2 Elystan Street | Chelsea Green, London SW3 3NS, England ",442075849999,1336,4.7692,0,0,2,5,32,/Restaurant_Review-g186338-d8650195-Reviews-Kiru-London_England.html
Fri 04 Mar 2016 12:14:56,London,Mon Plaisir,1492,1946,3,French,-0.126884,51.514507,"19 - 21 Monmouth StreetLondon,   WC2H 9DD",2078367243,4.251,18,57,122,981,782,/mon-plaisir,Mon 07 Mar 2016 02:07:06,London,Mon Plaisir,569,3,French,-0.12675,51.51449,"21 Monmouth Street, London WC2H 9ES, England ",02078367243,341,4.0524,24,28,53,256,211,/Restaurant_Review-g186338-d720067-Reviews-Mon_Plaisir-London_England.html
Fri 04 Mar 2016 12:18:10,London,Marco Pierre White Steak & Alehouse,1391,2206,4,Steak,-0.077632,51.517606,"109-117 Middlesex StreetLondon,   E1 7JF",2072475050,3.9513,39,113,338,1178,572,/marco-pierre-white-steak-and-alehouse,Tue 08 Mar 2016 23:12:44,London,Marco Pierre White Steak and Alehouse,4430,4,Steakhouse,-0.078185,51.51784,"109-117 Middlesex Street, London E1 7JF, England ",442072475050,503,3.9973,177,346,745,1253,1956,/Restaurant_Review-g186338-d1421189-Reviews-Marco_Pierre_White_Steak_and_Alehouse-London_England.html
Fri 04 Mar 2016 12:31:50,London,Clos Maggiore,593,10970,3,French,-0.124795,51.511694,"33 King StreetLondon,   WC2E 8JD",2073799696,4.5762,50,164,423,3056,7147,/clos-maggiore,Mon 07 Mar 2016 03:17:43,London,Clos Maggiore,2337,4,French,-0.124684,51.511642,"33 King Street | Covent Garden, London WC2E 8JD, England  (Bedford Street) ",442073799696,61,4.5751,36,45,151,414,1696,/Restaurant_Review-g186338-d1015650-Reviews-Clos_Maggiore-London_England.html
Fri 04 Mar 2016 12:34:00,London,The Rivington Bar & Grill,1832,1465,4,British,-0.009682,51.479773,"178 Greenwich High RoadGreenwichLondon,   SE10 8NN",NotFound,4.2162,5,14,136,826,499,/the-rivington-bar-and-grill,Tue 08 Mar 2016 23:27:59,London,Rivington Bar & Grill - Greenwich,237,3,British,-0.009871,51.47941,"178 Greenwich High Road | Greenwich, London SE10 8NN, England ",442082939270,1596,3.9198,7,14,39,108,69,/Restaurant_Review-g186338-d733241-Reviews-Rivington_Bar_Grill_Greenwich-London_England.html
Fri 04 Mar 2016 12:38:47,London,Inamo - Soho,1088,3061,3,Asian,-0.134733,51.514447,"134 - 136 Wardour StreetSohoLondon,   W1F 8ZP",2078517051,3.8945,90,210,488,1439,853,/inamo-soho,Mon 07 Mar 2016 06:41:52,London,Inamo,1114,4,Chinese,-0.134599,51.51439,"134 - 136 Wardour Street, London W1F 8ZP, England ",442078517051,2023,3.5686,97,117,222,413,266,/Restaurant_Review-g186338-d1180250-Reviews-Inamo-London_England.html
Fri 04 Mar 2016 12:39:06,London,Smith's Bar & Grill,1983,46,3,British,-0.179218,51.51917,"25 Sheldon SquarePaddingtonLondon,   W2 6EY",2072869458,3.175,2,26,18,24,10,/smiths-bar-and-grill,Mon 07 Mar 2016 03:19:26,London,Smith's Bar and Grill,106,4,British,-0.180503,51.5194,"25 Sheldon Square | Paddington Central, London W2 6EY, England ",02072869458,11589,3.3019,16,9,32,25,24,/Restaurant_Review-g186338-d2010459-Reviews-Smith_s_Bar_and_Grill-London_England.html
Fri 04 Mar 2016 12:39:41,London,Zia Teresa,2332,227,3,Italian,-0.164177,51.499003,"6 Hans RoadKnightsbridgeLondon,   SW3 1RX",2075897634,3.8542,4,12,55,113,56,/zia-teresa,Fri 04 Mar 2016 17:47:39,London,Zia Teresa,463,3,Italian,-0.164053,51.498814,"6 Hans Road, London SW3 1RX, England ",442075897634,659,4.026,24,35,47,155,201,/Restaurant_Review-g186338-d730143-Reviews-Zia_Teresa-London_England.html
