OTTime,OTCity,OTName,OTIndex,OTReviewCount,OTPrice,OTCuisine,OTLongitude,OTLatitude,OTAddress,OTPhoneNumber,OTMeanRating,OT1,OT2,OT3,OT4,OT5,OTLink,TATime,TACity,TAName,TAReviewCount,TAPrice,TACuisine,TALongitude,TALatitude,TAAddress,TAPhoneNumber,TARanking,TAMeanRating,TA1,TA2,TA3,TA4,TA5,TALink
Wed 02 Mar 2016 16:19:32,Chicago,Momotaro* Izakaya,568,31,2,Japanese,-87.64845,41.885886,"820 W. Lake StChicago, IL  60607",3127334818,4.6129,0,2,0,6,23,/momotaro-izakaya,Wed 02 Mar 2016 06:55:41,Chicago,Momotaro Restaurant,103,NotFound,Japanese,-87.64845,41.885887,"820 W Lake Street, Chicago, IL 60607 ",3127334818,157,4.54368932039,2,2,5,23,71,/Restaurant_Review-g35805-d7303647-Reviews-Momotaro_Restaurant-Chicago_Illinois.html
Wed 02 Mar 2016 16:19:51,Chicago,Les Nomades,485,1037,4,ContemporaryFrench,-87.621675,41.893583,"222 E OntarioChicago, IL  60611",3126499010,4.624,9,25,59,162,785,/les-nomades,Wed 02 Mar 2016 04:19:24,Chicago,Les Nomades,232,4,French,-87.62176,41.893597,"222 E Ontario St, Chicago, IL 60611-3258  (St. Clair) ",3126499010,189,4.53448275862,6,7,10,43,166,/Restaurant_Review-g35805-d427821-Reviews-Les_Nomades-Chicago_Illinois.html
Wed 02 Mar 2016 16:20:22,Chicago,Macello,512,629,2,Italian,-87.658216,41.885228,"1235 W. Lake StreetChicago, IL  60607",3128509870,4.3719,2,18,63,214,343,/macello,Thu 03 Mar 2016 15:40:40,Chicago,Macello,61,4,Italian,-87.65822,41.88524,"1235 W. Lake Street, Chicago, IL 60607  (Racine) ",13128509870,692,4.3443,1,2,4,22,32,/Restaurant_Review-g35805-d795004-Reviews-Macello-Chicago_Illinois.html
Wed 02 Mar 2016 16:21:26,Chicago,RL Restaurant,737,2818,3,American,-87.625166,41.896563,"115 E Chicago AveChicago, IL  60611",3124751100,4.3493,35,122,281,780,1622,/rl-restaurant,Wed 02 Mar 2016 08:34:52,Chicago,RL,604,4,American,-87.6247,41.896446,"115 E Chicago Ave, Chicago, IL 60611  (Michigan Avenue) ",3124751100,37,4.43874172185,10,18,41,163,372,/Restaurant_Review-g35805-d429404-Reviews-RL-Chicago_Illinois.html
Wed 02 Mar 2016 16:21:46,Chicago,Mity Nice Restaurant & Bar,562,1020,2,American,-87.624022,41.897774,"Water Tower Place 835 N Michigan AveChicago, IL  60611",3123354745,3.9837,11,75,180,428,346,/mity-nice-restaurant-and-bar,Wed 02 Mar 2016 15:54:58,Chicago,Mity Nice Grill,208,3,American,-87.62358,41.898075,"835 N Michigan Ave (Water Tower Place), Chicago, IL 60611  (Pearson) ",3123354745,206,4.2201,4,7,18,90,90,/Restaurant_Review-g35805-d429414-Reviews-Mity_Nice_Grill-Chicago_Illinois.html
Wed 02 Mar 2016 16:21:53,Chicago,Bread & Wine,117,458,2,ContemporaryAmerican,-87.72181,41.954047,"3734 West Irving Park RdChicago, IL  60641",7738665266,4.2249,5,24,49,165,215,/bread-and-wine,Wed 02 Mar 2016 18:21:30,Chicago,Bread & Wine,38,3,American,-87.72172,41.954147,"3734 W Irving Park Rd, Chicago, IL 60618  (Ridgeway) ",7738665266,657,4.3421,0,1,6,10,21,/Restaurant_Review-g35805-d2654866-Reviews-Bread_Wine-Chicago_Illinois.html
Wed 02 Mar 2016 16:22:12,Chicago,Pasteur,648,239,3,Vietnamese,-87.660061,41.982604,"5525 North BroadwayChicago, IL  60640",7737284800,3.9,6,21,40,97,76,/pasteur,Wed 02 Mar 2016 02:52:02,Chicago,Pasteur,30,NotFound,Asian,-87.65968,41.98258,"5525 N. Broadway, Chicago, IL ",7737284800,1279,4.16666666667,1,2,4,7,16,/Restaurant_Review-g35805-d3914510-Reviews-Pasteur-Chicago_Illinois.html
Wed 02 Mar 2016 16:22:26,Chicago,AMK Kitchen Bar,23,10,2,ComfortFood,-87.677403,41.918028,"1954 W Armitage AveChicago, IL  60622",7732764400,4.5,0,0,0,5,5,/amk-kitchen-bar,Thu 03 Mar 2016 08:39:35,Chicago,AMK,4,NotFound,NotFound,-87.67739,41.91796,"1954 West Armitage, Chicago, IL 60622 ",7732764400,1190,5.0,0,0,0,0,4,/Restaurant_Review-g35805-d8624481-Reviews-AMK-Chicago_Illinois.html
Wed 02 Mar 2016 16:22:53,Chicago,Morton's The Steakhouse - Chicago - The Original,577,1360,4,Steakhouse,-87.6284,41.9012,"1050 North State StreetChicago, IL  60610",3122664820,4.2088,36,95,176,295,758,/mortons-the-steakhouse-the-original,Thu 03 Mar 2016 15:26:43,Chicago,Morton's Steakhouse,401,4,American,-87.628746,41.901707,"1050 N. State St., Chicago, IL 60610  (Maple) ",3122664820,178,4.1841,12,26,45,112,207,/Restaurant_Review-g35805-d429385-Reviews-Morton_s_Steakhouse-Chicago_Illinois.html
Wed 02 Mar 2016 16:23:36,Chicago,Fred's at Barneys New York,310,766,2,Italian,-87.627735,41.900334,"15 East Oak StreetBarneys New YorkChicago, IL  60611",3125961111,3.94,23,70,126,294,287,/freds-at-chicago,Wed 02 Mar 2016 06:10:10,Chicago,Fred's at Barneys,85,4,NotFound,-87.62768,41.90046,"15 East Oak Street, Chicago, IL 60611  (Rush Street) ",3125961111,616,4.25882352941,3,2,11,23,46,/Restaurant_Review-g35805-d1533073-Reviews-Fred_s_at_Barneys-Chicago_Illinois.html
