Time,City,Name,ReviewCount,Price,Cuisine,Longitude,Latitude,Address,PhoneNumber,Ranking,MeanRating,1,2,3,4,5,Link
Wed 02 Mar 2016 01:54:26,Chicago,The Globe Pub,16,2,Irish,-87.67776,41.95417,"1934 West Irving Park Road, Chicago, IL 60613 ",17738713757,1466,4.375,0,0,1,8,7,/Restaurant_Review-g35805-d2397932-Reviews-The_Globe_Pub-Chicago_Illinois.html
Wed 02 Mar 2016 01:54:30,Chicago,Fork,75,2,Gastropub,-87.68648,41.96512,"4600 N Lincoln Ave, Chicago, IL 60625-2008  (Wilson) ",17737511500,827,4.17333333333,0,2,6,44,23,/Restaurant_Review-g35805-d851583-Reviews-Fork-Chicago_Illinois.html
Wed 02 Mar 2016 01:54:34,Chicago,Angelo's Taverna,NotFound,NotFound,Greek,-87.63883,41.911488,"1612 N Sedgwick St, Chicago, IL 60614 ",3124963275,4998,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g35805-d4195396-Reviews-Angelo_s_Taverna-Chicago_Illinois.html
Wed 02 Mar 2016 01:54:38,Chicago,Yummy Yummy Noodles,2,NotFound,Asian,-87.63184,41.85505,"2002 S Wentworth Ave Lower lvl, Chicago, IL 60616 ",3128429880,2099,5.0,0,0,0,0,2,/Restaurant_Review-g35805-d4197028-Reviews-Yummy_Yummy_Noodles-Chicago_Illinois.html
Wed 02 Mar 2016 01:54:46,Chicago,Wesley's Place,NotFound,NotFound,NotFound,-87.58241,41.75153,"1713 E 79th St, Chicago, IL 60649 ",7739338140,6105,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g35805-d4201953-Reviews-Wesley_s_Place-Chicago_Illinois.html
Wed 02 Mar 2016 01:54:49,Chicago,Magos Tamales Y Taqueria,NotFound,NotFound,Mexican,-87.76901,41.92394,"5714 W Fullerton Ave, Chicago, IL 60639 ",7732374447,6715,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g35805-d4197669-Reviews-Magos_Tamales_Y_Taqueria-Chicago_Illinois.html
Wed 02 Mar 2016 01:54:55,Chicago,Sala Bua Thai Cuisine,2,NotFound,Thai,-87.632126,41.855045,"2002 S Wentworth Ave, Chicago, IL 60616 ",3124930453,3879,3.5,0,1,0,0,1,/Restaurant_Review-g35805-d5426520-Reviews-Sala_Bua_Thai_Cuisine-Chicago_Illinois.html
Wed 02 Mar 2016 01:54:58,Chicago,Great Food & Beverage Company,3,NotFound,NotFound,-87.70892,41.997208,"3149 W Devon Ave, Chicago, IL 60659 ",7734659030,2398,4.66666666667,0,0,0,1,2,/Restaurant_Review-g35805-d4202706-Reviews-Great_Food_Beverage_Company-Chicago_Illinois.html
Wed 02 Mar 2016 01:55:01,Chicago,Adagio,2,NotFound,Italian,-87.65203,41.9098,"923 West Weed Street, Chicago, IL 60622-2540 ",3127870400,1750,5.0,0,0,0,0,2,/Restaurant_Review-g35805-d524524-Reviews-Adagio-Chicago_Illinois.html
Wed 02 Mar 2016 01:55:07,Chicago,Yah's Cuisine,NotFound,NotFound,NotFound,-87.56698,41.75898,"2347 E 75th St, Chicago, IL 60649 ",7737598517,4892,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g35805-d4205744-Reviews-Yah_s_Cuisine-Chicago_Illinois.html
Wed 02 Mar 2016 01:55:14,Chicago,Gior Boni's,NotFound,NotFound,NotFound,-87.759,41.92412,"5306 W Fullerton Ave, Chicago, IL 60639-1425 ",7738041840,5110,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g35805-d4197232-Reviews-Gior_Boni_s-Chicago_Illinois.html
Wed 02 Mar 2016 01:55:18,Chicago,Butch Mc Guires Tavern,59,2,Pub,-87.62948,41.90394,"20 W. Division St., Chicago, IL 60610 ",3127874318,463,4.40677966102,0,0,5,25,29,/Restaurant_Review-g35805-d492769-Reviews-Butch_Mc_Guires_Tavern-Chicago_Illinois.html
Wed 02 Mar 2016 01:55:23,Chicago,Fresh82Cafe,NotFound,NotFound,NotFound,-87.72274,41.985786,"5801-G Pulaski, Chicago, IL 60646 ",3124348474,4778,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g35805-d4859824-Reviews-Fresh82Cafe-Chicago_Illinois.html
Wed 02 Mar 2016 01:55:25,Chicago,Protein Bar,5,NotFound,NotFound,-87.63548,41.88852,"222 Merchandise Mart Plz, Chicago, IL 60654-1103 ",3122651185,2294,4.4,0,0,0,3,2,/Restaurant_Review-g35805-d6580795-Reviews-Protein_Bar-Chicago_Illinois.html
Wed 02 Mar 2016 01:55:28,Chicago,Jimmy Johns,NotFound,NotFound,NotFound,-87.67846,41.90315,"2029 W Division St, Chicago, IL 60622 ",7734895646,6142,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g35805-d4201795-Reviews-Jimmy_Johns-Chicago_Illinois.html
Wed 02 Mar 2016 01:55:37,Chicago,Serena Restaurant,3,NotFound,Middle Eastern,-87.68782,41.99905,"2311 E. Devon Ave., Chicago, IL ",NotFound,2287,4.66666666667,0,0,0,1,2,/Restaurant_Review-g35805-d3349393-Reviews-Serena_Restaurant-Chicago_Illinois.html
Wed 02 Mar 2016 01:55:43,Chicago,Via Veneto Ristorante,20,3,Italian,-87.717255,41.996483,"6340 N Lincoln Ave, Chicago, IL 60659-1213  (Central Park) ",7732670888,1312,4.05,1,0,3,9,7,/Restaurant_Review-g35805-d431756-Reviews-Via_Veneto_Ristorante-Chicago_Illinois.html
Wed 02 Mar 2016 01:55:48,Chicago,Yak Thai Cuisine,1,NotFound,Thai,-87.66885,41.985565,"5701 N. Clark St., Chicago, IL 60660  ",7739449988,4191,3.0,0,0,1,0,0,/Restaurant_Review-g35805-d4371507-Reviews-Yak_Thai_Cuisine-Chicago_Illinois.html
Wed 02 Mar 2016 01:55:50,Chicago,Piezano's Pizza & Grinder Co,1,NotFound,NotFound,-87.68952,41.80836,"2601 W 47th St, Chicago, IL 60632 ",7733760808,2122,5.0,0,0,0,0,1,/Restaurant_Review-g35805-d4196001-Reviews-Piezano_s_Pizza_Grinder_Co-Chicago_Illinois.html
