OTTime,OTCity,OTName,OTIndex,OTReviewCount,OTPrice,OTCuisine,OTLongitude,OTLatitude,OTAddress,OTPhoneNumber,OTMeanRating,OT1,OT2,OT3,OT4,OT5,OTLink,TATime,TACity,TAName,TAReviewCount,TAPrice,TACuisine,TALongitude,TALatitude,TAAddress,TAPhoneNumber,TARanking,TAMeanRating,TA1,TA2,TA3,TA4,TA5,TALink
Fri 25 Mar 2016 14:07:30,Manhattan,Bettola,294,192,2,Italian,-73.978149,40.783705,"412 Amsterdam AvenueNew York, NY  10024",2127871660,3.7552,6,22,35,79,50,/bettola,Fri 04 Mar 2016 15:52:16,NewYork,Bettola,50,3,Italian,-73.97821,40.783703,"412 Amsterdam Ave, Frnt 1, New York City, NY 10024-6255  (79th - 80th street) ",2127871660,4219,3.72,2,5,8,25,10,/Restaurant_Review-g60763-d786691-Reviews-Bettola-New_York_City_New_York.html
Fri 25 Mar 2016 14:07:30,Manhattan,Via Della Pace,2242,134,2,Italian,-73.987826,40.727747,"48 East 7th St.New York, NY  10075",2122535803,4.0597,3,6,21,54,50,/via-della-pace,Thu 03 Mar 2016 04:25:07,NewYork,Via della Pace,534,2,Italian,-73.987816,40.727715,"48 E 7th st, New York City, NY 10003  (Between 1st & 2nd Avenue) ",2122535803,39,4.5094,10,10,33,126,355,/Restaurant_Review-g60763-d495865-Reviews-Via_della_Pace-New_York_City_New_York.html
Fri 25 Mar 2016 14:07:36,Manhattan,Dolcino Trattoria Toscana,704,75,2,Italian,-73.978567,40.741603,"517 2nd AvenueNew York, NY  10016",2124489505,3.925,2,4,14,38,22,/dolcino-trattoria-toscana,Fri 04 Mar 2016 12:52:56,NewYork,Dolcino,13,NotFound,Italian,-73.97859,40.74161,"517 Second Ave, New York City, NY 10016-8603 ",2124489505,4795,4.2308,0,0,2,6,5,/Restaurant_Review-g60763-d425365-Reviews-Dolcino-New_York_City_New_York.html
Fri 25 Mar 2016 14:07:36,Manhattan,Comic Strip Live Comedy Club,587,3,3,Bar/Lounge/BottleService,-73.953626,40.775301,"1568 Second AvenueNew York, NY  10028",2128619386,3.3333,1,0,0,1,1,/comic-strip-live-comedy-club,Fri 04 Mar 2016 17:25:26,NewYork,Comic Strip Live,4,NotFound,NotFound,-73.95356,40.774807,"1568 2nd Ave, # 1, New York City, NY 10028 ",2128619386,5813,4.5,0,0,1,0,3,/Restaurant_Review-g60763-d4455357-Reviews-Comic_Strip_Live-New_York_City_New_York.html
Fri 25 Mar 2016 14:07:38,Manhattan,Atami Japanese Restaurant,167,21,2,Japanese,-73.963335,40.762192,"1167 2nd AveNew York, NY  10065",2126886868,3.9524,1,0,4,10,6,/atami-japanese-restaurant,Fri 04 Mar 2016 16:13:08,NewYork,Atami Japanese Restaurant,7,NotFound,Japanese,-73.96324,40.76212,"1167 2nd Ave, New York City, NY ",2126886867,4688,4.1429,0,0,2,2,3,/Restaurant_Review-g60763-d4766073-Reviews-Atami_Japanese_Restaurant-New_York_City_New_York.html
Fri 25 Mar 2016 14:07:40,Manhattan,Almond - Tribeca,88,73,3,American,-74.009625,40.719599,"186 Franklin St.New York, NY  10013",2124310606,4.2055,1,5,6,27,34,/almond-tribeca,Fri 04 Mar 2016 09:48:22,NewYork,Almond Tribeca,11,4,American,-74.00963,40.7196,"186 Franklin Street, between Greenwich Street and Hudson Street, New York City, NY 10013 ",12124310606,3392,4.5455,0,1,0,2,8,/Restaurant_Review-g60763-d7913536-Reviews-Almond_Tribeca-New_York_City_New_York.html
Fri 25 Mar 2016 14:07:41,Manhattan,El Paso Mexican Restaurant,753,131,2,Mexican,-73.947078,40.790666,"1643 Lexington Ave.New York, NY  10029",2128319831,4.0375,6,10,18,64,62,/el-paso-mexican-restaurant,Fri 04 Mar 2016 15:15:24,NewYork,El Paso Taqueria,65,3,Mexican,-73.947205,40.79071,"1643 Lexington Ave, New York City, NY 10029  (East 104th Street) ",2128319831,1702,4.2615,1,1,4,33,26,/Restaurant_Review-g60763-d1982925-Reviews-El_Paso_Taqueria-New_York_City_New_York.html
Fri 25 Mar 2016 14:07:44,Manhattan,Galli Restaurant LES - Permanently Closed,877,40,2,Italian,-73.988412,40.720246,"98 Rivington StreetNew York, NY  10002",2124661888,3.875,2,3,8,12,15,/galli-restaurant-les,Fri 04 Mar 2016 07:34:10,NewYork,Galli Restaurant Les,19,NotFound,Italian,-73.98841,40.720245,"98 Rivington Street, New York City, NY 10002 ",2124661888,4541,3.9474,2,0,3,6,8,/Restaurant_Review-g60763-d7337011-Reviews-Galli_Restaurant_Les-New_York_City_New_York.html
Fri 25 Mar 2016 14:07:44,Manhattan,Bocado Cafe,355,57,2,American,-73.954838,40.780232,"1293 Lexington AveNew York, NY  10128",2122899004,4.0,2,5,6,23,22,/bocado-cafe,Thu 03 Mar 2016 20:59:18,NewYork,Bocado Wine Bar & Restaurant,78,NotFound,Wine Bar,-73.955124,40.78025,"1293 Lexington Avenue, New York City, NY 10128 ",12122899004,1204,4.141,0,4,9,37,28,/Restaurant_Review-g60763-d3681538-Reviews-Bocado_Wine_Bar_Restaurant-New_York_City_New_York.html
Fri 25 Mar 2016 14:07:49,Manhattan,Pierre Loti Chelsea,1706,180,2,Mediterranean,-74.001665,40.740037,"258 West 15th StreetNew York, NY  10011",2126455684,4.075,4,9,23,96,68,/pierre-loti-chelsea,Thu 03 Mar 2016 09:25:07,NewYork,Pierre Loti West,19,4,Mediterranean,-74.001656,40.740063,"258 W 15th St, Frnt 1, New York City, NY 10011  (8th Ave) ",2126455684,5444,4.0526,0,1,1,13,4,/Restaurant_Review-g60763-d1724531-Reviews-Pierre_Loti_West-New_York_City_New_York.html
Fri 25 Mar 2016 14:07:55,Manhattan,Hell's Kitchen,987,82,2,Mexican,-73.988292,40.763819,"754 Ninth AvenueNew York, NY  10019",2129771588,4.1951,0,8,7,28,39,/hells-kitchen,Thu 03 Mar 2016 18:53:20,NewYork,Hell's Kitchen,71,NotFound,NotFound,-73.9885,40.764133,"754 Ninth Avenue, At 51st Street, New York City, NY 10019 ",2129771588,2917,3.9859,0,4,20,20,27,/Restaurant_Review-g60763-d8847339-Reviews-Hell_s_Kitchen-New_York_City_New_York.html
Fri 25 Mar 2016 14:07:57,Manhattan,Añejo Tribeca,119,91,2,Mexican,-74.004411,40.719389,"301 Church St.New York, NY  10013",2129206270,3.5604,4,17,26,12,32,/anejo-tribeca,Fri 04 Mar 2016 01:30:57,NewYork,Anejo Tribeca,31,NotFound,Mexican,-74.0045,40.71928,"301 Church St, New York City, NY 10013 ",12129206270,3745,3.871,2,3,3,12,11,/Restaurant_Review-g60763-d7108667-Reviews-Anejo_Tribeca-New_York_City_New_York.html
Fri 25 Mar 2016 14:08:00,Manhattan,Crompton Ale House,621,19,2,American,-73.993376,40.74586,"159 West 26th StreetNew York, NY  10001",2126580089,4.0,1,2,0,9,7,/crompton-ale-house,Fri 04 Mar 2016 12:02:52,NewYork,Crompton Ale House,35,NotFound,American,-73.993484,40.745712,"159west 26th Street, Between 6 & 7th Avenue, New York City, NY 10001 ",12126580089,1942,4.1143,0,2,3,19,11,/Restaurant_Review-g60763-d8068639-Reviews-Crompton_Ale_House-New_York_City_New_York.html
Fri 25 Mar 2016 14:08:03,Manhattan,18th street Tarallucci E Vino,11,377,3,Italian,-73.99083,40.738081,"15 East 18th StreetNew York, NY  10003",2122285400,3.8575,10,37,73,160,120,/18th-street-tarallucci-e-vino,Thu 03 Mar 2016 21:09:03,NewYork,Tarallucci e Vino - The Restaurant,103,4,Italian,-73.9906,40.7382,"15 E 18th St, New York City, NY 10003  (5th Avenue and Broadway) ",2122285400,1769,4.068,3,3,16,43,38,/Restaurant_Review-g60763-d779099-Reviews-Tarallucci_e_Vino_The_Restaurant-New_York_City_New_York.html
Fri 25 Mar 2016 14:08:13,Manhattan,Marseille,1384,4049,3,French,-73.991356,40.759911,"630 Ninth AvenueNew York, NY  10036",2123332323,4.0615,35,183,584,1942,1304,/marseille,Thu 03 Mar 2016 12:55:45,NewYork,Marseille,663,3,French,-73.99121,40.759865,"630 9th Ave, Ste 311, New York City, NY 10036-4751  (44th Street) ",12123332233,285,4.0647,15,22,100,296,232,/Restaurant_Review-g60763-d424482-Reviews-Marseille-New_York_City_New_York.html
Fri 25 Mar 2016 14:08:13,Manhattan,Chote Nawab,552,121,2,Indian,-73.982421,40.742497,"115 Lexington AvenueNew York, NY  10016",2126794603,3.9312,4,10,24,77,45,/chote-nawab,Fri 04 Mar 2016 09:32:30,NewYork,Chote Nawab,65,3,Indian,-73.98237,40.742477,"115 Lexington Ave, New York City, NY 10016  (Between 27th and 28th Street) ",2126794603,2858,3.9077,4,5,7,26,23,/Restaurant_Review-g60763-d3410608-Reviews-Chote_Nawab-New_York_City_New_York.html
Fri 25 Mar 2016 14:08:16,Manhattan,Ella Kitchen & Bar,767,38,2,Spanish,-73.978901,40.777011,"249 Columbus AvenueNew York, NY  10023",2125799929,4.0,1,1,7,17,12,/ella-kitchen-and-bar,Thu 03 Mar 2016 16:42:13,NewYork,Ella Kitchen and Bar,14,NotFound,Spanish,-73.97901,40.776962,"249 Colombus Avenue, Between 72 and 71st Street, New York City, NY 10023 ",12125799929,2546,4.4286,0,0,2,4,8,/Restaurant_Review-g60763-d8654475-Reviews-Ella_Kitchen_and_Bar-New_York_City_New_York.html
Fri 25 Mar 2016 14:08:17,Manhattan,Del Frisco's Grille - NYC,671,1346,3,American,-73.978245,40.759383,"50 Rockefeller PlazaNew York, NY  10020",2127670371,4.0083,43,101,206,422,548,/del-friscos-grille-nyc,Fri 04 Mar 2016 07:54:14,NewYork,Del Frisco's Grille,483,4,American,-73.97846,40.759663,"50 Rockefeller Plz, New York City, NY 10020-1605  (51st) ",2127670371,244,4.1573,9,22,63,179,210,/Restaurant_Review-g60763-d2347426-Reviews-Del_Frisco_s_Grille-New_York_City_New_York.html
Fri 25 Mar 2016 14:08:28,Manhattan,Otto Enoteca Pizzeria,1616,4221,2,Italian,-73.99633,40.73225,"1 Fifth AvenueNew York, NY  10003",2129959559,3.655,203,549,873,1498,1117,/otto-enoteca-pizzeria,Fri 04 Mar 2016 11:06:39,NewYork,Otto,702,4,Italian,-73.99598,40.732147,"One Fifth Avenue, New York City, NY 10003  (8th Street) ",2129959559,1279,3.7792,43,65,129,232,233,/Restaurant_Review-g60763-d502705-Reviews-Otto-New_York_City_New_York.html
Fri 25 Mar 2016 14:08:35,Manhattan,Friend of a Farmer,866,417,2,American,-73.986598,40.736986,"77 Irving PlaceNew York, NY  10003",2124772188,3.565,28,53,78,147,94,/friend-of-a-farmer,Fri 04 Mar 2016 02:42:24,NewYork,Friend of a Farmer,279,3,American,-73.98689,40.736843,"77 Irving Place, New York City, NY 10003-2203  (East 19th Street) ",12124772188,916,3.9462,16,15,34,117,97,/Restaurant_Review-g60763-d496790-Reviews-Friend_of_a_Farmer-New_York_City_New_York.html
Fri 25 Mar 2016 14:08:38,Manhattan,Brother Jimmy's - Union Square,408,105,2,Barbecue,-73.988473,40.735318,"116 East 16th StreetNew York, NY  10001",2126736465,3.5619,6,14,23,39,23,/brother-jimmys-union-square,Thu 03 Mar 2016 18:12:09,NewYork,Brother Jimmy's,24,NotFound,American,-73.98845,40.73537,"116 East 16th Street, New York City, NY 10001 ",2126736465,5650,3.75,2,2,4,8,8,/Restaurant_Review-g60763-d4035306-Reviews-Brother_Jimmy_s-New_York_City_New_York.html
Fri 25 Mar 2016 14:08:41,Manhattan,Asia de Cuba,161,1344,3,Fusion/Eclectic,-73.992116,40.728444,"415 Lafayette StreetNew York, NY  10003",2127267755,3.9558,28,116,195,403,458,/asia-de-cuba-new-york,Fri 04 Mar 2016 16:39:12,NewYork,Asia De Cuba,58,4,Caribbean,-73.99212,40.728447,"415 Lafayette Street, New York City, NY 10003 ",12127267755,987,4.431,1,1,5,16,35,/Restaurant_Review-g60763-d7991173-Reviews-Asia_De_Cuba-New_York_City_New_York.html
Fri 25 Mar 2016 14:08:47,Manhattan,Crispin's,619,103,3,Italian,-73.990797,40.765757,"764 10th AvenueNew York, NY  10019",2125860888,3.875,5,6,23,51,35,/crispins,Fri 04 Mar 2016 17:14:29,NewYork,Crispin’s,69,4,Italian,-73.99093,40.76587,"764 10th Avenue, New York City, NY 10019 (Formerly Crispin_s) (Corner of 52nd St & 10th Ave) ",12125860888,1751,4.5072,1,2,4,16,46,/Restaurant_Review-g60763-d4497557-Reviews-Crispin_s-New_York_City_New_York.html
Fri 25 Mar 2016 14:08:48,Manhattan,AOC,138,549,3,French,-74.003977,40.73288,"314 Bleecker StreetNew York, NY  10014",2126759463,3.612,36,76,100,190,147,/aoc,Fri 04 Mar 2016 12:21:29,NewYork,A.O.C. L'aile ou la Cuisse,196,4,French,-74.00405,40.732788,"314 Bleecker St, Greenwich Village, New York City, NY 10014  (Grove Street) ",2126759463,1801,3.7919,14,14,29,82,58,/Restaurant_Review-g60763-d1544988-Reviews-A_O_C_L_aile_ou_la_Cuisse-New_York_City_New_York.html
Fri 25 Mar 2016 14:08:55,Manhattan,BG - Bergdorf Goodman,296,1235,3,ContemporaryAmerican,-73.973,40.764,"754 5th AveNew York, NY  10019",2128728977,4.2957,19,62,107,341,631,/bg-bergdorf-goodman,Fri 04 Mar 2016 13:18:01,NewYork,BG - Bergdorf Goodman,274,4,American,-73.97399,40.763527,"754 5th Ave, New York City, NY 10019  (58th Street and 5th Ave) ",2128728977,238,4.4562,3,10,15,77,169,/Restaurant_Review-g60763-d1368208-Reviews-BG_Bergdorf_Goodman-New_York_City_New_York.html
Fri 25 Mar 2016 14:09:00,Manhattan,The Americano,108,282,3,French,-74.003407,40.750651,"518 West 27th StreetNew York, NY  10001",2125250000,3.5567,20,44,58,79,81,/the-americano,Thu 03 Mar 2016 18:50:09,NewYork,The Americano,61,4,French,-74.00354,40.750717,"518 W 27th St, Hotel Americano, New York City, NY  (10th avenue) ",2125250000,4694,3.5738,7,8,8,19,19,/Restaurant_Review-g60763-d3321801-Reviews-The_Americano-New_York_City_New_York.html
Fri 25 Mar 2016 14:09:01,Manhattan,JoJo,1122,2948,3,ContemporaryFrench,-73.965704,40.765043,"160 East 64th StreetNew York, NY  10065",2122235656,3.987,78,202,439,1081,1040,/jojo,Thu 03 Mar 2016 21:30:56,NewYork,JoJo,296,4,French,-73.96569,40.765076,"160 East 64th St., between Lexington and 3rd Aves., New York City, NY 10021  (Between Lexington and Third Avenues) ",212235656,682,4.1926,7,8,42,103,136,/Restaurant_Review-g60763-d482185-Reviews-JoJo-New_York_City_New_York.html
Fri 25 Mar 2016 14:09:02,Manhattan,Chocolat Restaurant Lounge,547,486,2,American,-73.953679,40.806952,"2217-23 Frederick Douglass Blvd.New York, NY  10026",2122224545,3.6934,36,42,98,169,141,/chocolat-restaurant-lounge,Fri 04 Mar 2016 09:46:27,NewYork,Chocolat Restaurant Lounge,59,2,American,-73.95382,40.806896,"2223 Frederick Douglas Boulevard, New York City, NY 10026  (120th Street) ",2122224545,5618,3.4746,4,10,12,20,13,/Restaurant_Review-g60763-d2018722-Reviews-Chocolat_Restaurant_Lounge-New_York_City_New_York.html
Fri 25 Mar 2016 14:09:03,Manhattan,Pennsylvania 6 - NYC,1675,292,3,American,-73.990135,40.748259,"132 W. 31 St.New York, NY  10001",2127273666,3.7637,4,36,49,139,64,/pennsylvania-6-nyc,Fri 04 Mar 2016 08:56:55,NewYork,Pennsylvania 6,107,NotFound,American,-73.990654,40.748302,"132 West 31st Street, New York City, NY 10001 ",2127273666,1568,4.0374,5,5,13,42,42,/Restaurant_Review-g60763-d3932567-Reviews-Pennsylvania_6-New_York_City_New_York.html
Fri 25 Mar 2016 14:09:05,Manhattan,La Tarte Flambee - Permanently Closed,1225,95,2,French,-73.949001,40.781107,"1750 2nd AvenueNew York, NY  10128",2128600826,4.1979,4,1,6,46,39,/la-tarte-flambee-permanently-closed,Fri 04 Mar 2016 13:12:30,NewYork,La Tarte Flambee,31,3,French,-73.949,40.78111,"1750 Second Avenue, New York City, NY 10128  (betw. 91st & 92nd) ",12128600826,2778,4.2581,1,1,0,16,13,/Restaurant_Review-g60763-d3332773-Reviews-La_Tarte_Flambee-New_York_City_New_York.html
Fri 25 Mar 2016 14:09:10,Manhattan,City Lobster & Steakhouse,569,3349,3,Seafood,-73.9816,40.7595,"121 West 49th StreetNew York, NY  10020",2123541717,3.8412,95,335,593,1217,1029,/city-lobster-and-steakhouse,Fri 04 Mar 2016 07:42:06,NewYork,City Lobster & Steakhouse,605,4,American,-73.98179,40.76027,"121 West 49th Street, New York City, NY 10020  (On 49th Street between 6th and 7th Avenues) ",2123541717,462,4.0033,24,42,84,213,242,/Restaurant_Review-g60763-d1367955-Reviews-City_Lobster_Steakhouse-New_York_City_New_York.html
