OTTime,OTCity,OTName,OTIndex,OTReviewCount,OTPrice,OTCuisine,OTLongitude,OTLatitude,OTAddress,OTPhoneNumber,OTMeanRating,OT1,OT2,OT3,OT4,OT5,OTLink,TATime,TACity,TAName,TAReviewCount,TAPrice,TACuisine,TALongitude,TALatitude,TAAddress,TAPhoneNumber,TARanking,TAMeanRating,TA1,TA2,TA3,TA4,TA5,TALink
Fri 25 Mar 2016 18:34:02,Houston,Angus Grill Brazilian Steakhouse,21,70,3,BrazilianSteakhouse,-95.489366,29.738105,"6106 Westheimer RoadHouston, TX  77057",7133345206,3.975,4,4,14,26,32,/angus-grill-brazilian-steakhouse,Fri 25 Mar 2016 19:07:50,Houston,Angus Grill Brazilian Steakhouse,104,3,Steakhouse,-95.48937,29.738174,"6106 Westheimer Rd, Houston, TX 77057-4524 ",17133345206,3817,2.7788,18,28,25,25,8,/Restaurant_Review-g56003-d1409486-Reviews-Angus_Grill_Brazilian_Steakhouse-Houston_Texas.html
Fri 25 Mar 2016 18:34:06,Houston,Reef,471,2483,3,Seafood,-95.375237,29.745569,"2600 TravisHouston, TX  77002",7135268282,4.2556,50,132,294,692,1352,/reef,Fri 25 Mar 2016 18:32:37,Houston,REEF,329,3,Seafood,-95.37526,29.745937,"2600 Travis St, Houston, TX 77006  (McGowen Street) ",7135268282,37,4.3222,10,10,35,83,191,/Restaurant_Review-g56003-d856082-Reviews-REEF-Houston_Texas.html
Fri 25 Mar 2016 18:34:30,Houston,Coppa Osteria,125,239,3,Italian,-95.414987,29.718938,"5210 MorningsideHouston, TX  77005",7135223535,4.0708,4,14,51,63,108,/coppa-osteria,Fri 25 Mar 2016 18:13:48,Houston,Coppa Osteria,56,NotFound,Italian,-95.41496,29.71879,"5210 Morningside, Houston, TX ",7135223535,601,3.625,3,6,10,27,10,/Restaurant_Review-g56003-d5281616-Reviews-Coppa_Osteria-Houston_Texas.html
Fri 25 Mar 2016 18:34:50,Houston,Divino Italian Restaurant,153,165,3,Italian,-95.405942,29.738854,"1830 West AlabamaHouston, TX  77098",7138071123,4.53,2,0,18,50,130,/divino-italian-restaurant,Fri 25 Mar 2016 18:50:38,Houston,Divino Restaurant & Wine Bar,39,3,Wine Bar,-95.40593,29.73861,"1830 W Alabama St, Houston, TX 77098-2602  (Woodhead) ",7138071123,356,4.4615,1,1,3,8,26,/Restaurant_Review-g56003-d442322-Reviews-Divino_Restaurant_Wine_Bar-Houston_Texas.html
Fri 25 Mar 2016 18:35:00,Houston,La Mexicana Restaurant,280,7,2,Mexican,-95.391705,29.748361,"1018 Fairview StHouston, TX  77006-2812",7135210963,4.0,0,1,1,2,3,/la-mexicana-restaurant,Fri 25 Mar 2016 18:39:36,Houston,La Mexicana Restaurant,63,2,Mexican,-95.39165,29.748396,"1018 Fairview St, Houston, TX 77006-2812 ",7135210963,607,3.7302,2,6,16,22,17,/Restaurant_Review-g56003-d470173-Reviews-La_Mexicana_Restaurant-Houston_Texas.html
Fri 25 Mar 2016 18:35:09,Houston,Georges Bistro - Permanently Closed,195,144,2,French,-95.383709,29.74437,"219 WestheimerHouston, TX  77025",8328310921,4.5625,3,3,8,33,113,/georges-bistro-permanently-closed,Fri 25 Mar 2016 18:56:45,Houston,Georges Bistro,15,NotFound,French,-95.38371,29.74437,"219 Westheimer Road, Houston, TX 77006 ",8328310921,621,4.6667,0,1,0,2,12,/Restaurant_Review-g56003-d7189934-Reviews-Georges_Bistro-Houston_Texas.html
Fri 25 Mar 2016 18:35:22,Houston,The Federal Grill,174,441,3,American,-95.409256,29.76709,"510 Shepherd DrHouston, TX  77007",7138637777,4.0114,18,31,70,130,191,/the-federal-grill,Fri 25 Mar 2016 18:51:36,Houston,Federal Grill,33,NotFound,American,-95.40905,29.767029,"510 Shepherd, Houston, TX 77007 ",17138637777,648,4.1176,1,2,3,14,14,/Restaurant_Review-g56003-d4288211-Reviews-Federal_Grill-Houston_Texas.html
Fri 25 Mar 2016 18:35:38,Houston,Goode Co. Seafood - Katy Freeway,202,329,3,Seafood,-95.549054,29.784194,"10211 Katy FreewayHouston, TX  77024",7134647933,4.2028,7,20,40,119,174,/goode-co-seafood-katy-freeway,Fri 25 Mar 2016 18:51:44,Houston,Goode Co. Seafood - Katy Freeway,142,3,Cajun & Creole,-95.548225,29.782946,"10211 Katy Fwy., Houston, TX 77024  (Frostwood-1 block before Gessner on I-10 feeder) ",7134647933,68,4.2958,1,3,18,51,69,/Restaurant_Review-g56003-d495488-Reviews-Goode_Co_Seafood_Katy_Freeway-Houston_Texas.html
Fri 25 Mar 2016 18:35:44,Houston,The Capital Grille - Houston,90,1073,4,Steakhouse,-95.470097,29.739294,"5365 Westheimer RoadHouston, TX  77056",7136234600,4.4761,7,43,86,209,682,/the-capital-grille-houston,Fri 25 Mar 2016 18:27:58,Houston,The Capital Grille,274,4,American,-95.46962,29.739109,"5365 Westheimer Rd, Houston, TX 77056-5402  (Yorktown) ",7136234600,19,4.5036,6,3,23,57,185,/Restaurant_Review-g56003-d442191-Reviews-The_Capital_Grille-Houston_Texas.html
Fri 25 Mar 2016 18:35:48,Houston,Pappas Bros. Steakhouse - Galleria,408,3288,4,Steak,-95.482,29.7379,"5839 Westheimer Rd.Houston, TX  77057",7137807352,4.5028,33,104,270,627,2206,/pappas-bros-steakhouse-galleria,Fri 25 Mar 2016 19:00:05,Houston,Pappas Bros. Steakhouse,927,4,American,-95.481705,29.73727,"5839 Westheimer Rd, Houston, TX 77057-5616  (Between Chimney Rock & Fountain View) ",7137807352,3,4.639,6,16,46,171,689,/Restaurant_Review-g56003-d484925-Reviews-Pappas_Bros_Steakhouse-Houston_Texas.html
