Time,City,Name,ReviewCount,Price,Cuisine,Longitude,Latitude,Address,PhoneNumber,Ranking,MeanRating,1,2,3,4,5,Link
Thu 03 Mar 2016 04:08:51,SanFran,Yummy BBQ Kitchen,2,NotFound,Barbecue,-122.408325,37.797516,"683 Broadway, San Francisco, CA 94133-4405 ",4154212015,2710,4.0,0,0,0,2,0,/Restaurant_Review-g60713-d4827355-Reviews-Yummy_BBQ_Kitchen-San_Francisco_California.html
Thu 03 Mar 2016 04:09:12,SanFran,Pizza Joint,5,NotFound,Pizza,-122.49168,37.776012,"3088 Balboa St, San Francisco, CA 94121 ",4153874992,1258,5.0,0,0,0,0,5,/Restaurant_Review-g60713-d3652342-Reviews-Pizza_Joint-San_Francisco_California.html
Thu 03 Mar 2016 04:09:30,SanFran,Route 101,2,NotFound,NotFound,-122.42149,37.78816,"1332 Van Ness Ave, San Francisco, CA 94109 ",4154746092,1684,5.0,0,0,0,0,2,/Restaurant_Review-g60713-d4744757-Reviews-Route_101-San_Francisco_California.html
Thu 03 Mar 2016 04:09:48,SanFran,Yoppi Yogurt,NotFound,NotFound,NotFound,-122.40199,37.790413,"120 Montgomery St, Ste 100, San Francisco, CA 94104-4303 ",4159819818,4114,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60713-d4941959-Reviews-Yoppi_Yogurt-San_Francisco_California.html
Thu 03 Mar 2016 04:10:01,SanFran,Submarine Sandwiches,NotFound,NotFound,NotFound,-122.41521,37.78843,"900 Sutter St, San Francisco, CA 94109 ",NotFound,3637,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60713-d5555712-Reviews-Submarine_Sandwiches-San_Francisco_California.html
Thu 03 Mar 2016 04:10:18,SanFran,The Pour House,5,NotFound,NotFound,-122.4207,37.789066,"1327 Polk St, San Francisco, CA 94109 ",4154407662,2421,4.2,0,0,1,2,2,/Restaurant_Review-g60713-d4689186-Reviews-The_Pour_House-San_Francisco_California.html
Thu 03 Mar 2016 04:10:26,SanFran,Waterbar,733,3,Seafood,-122.38913,37.790512,"399 The Embarcadero, San Francisco, CA 94105  (Harrison) ",415.284.9922,28,4.3001,18,28,61,235,391,/Restaurant_Review-g60713-d966017-Reviews-Waterbar-San_Francisco_California.html
Thu 03 Mar 2016 04:10:41,SanFran,HSS Cafe,NotFound,NotFound,NotFound,-122.476074,37.721924,"1600 Holloway Ave, HSS Bldg, Room 121, San Francisco, CA 94132 ",4154050450,3962,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60713-d5564318-Reviews-HSS_Cafe-San_Francisco_California.html
Thu 03 Mar 2016 04:10:54,SanFran,L'ardoise Bistro,131,4,French,-122.433044,37.76657,"151 Noe St, San Francisco, CA 94114-1245  (Henry) ",14154372600,96,4.6641,0,0,5,34,92,/Restaurant_Review-g60713-d1027321-Reviews-L_ardoise_Bistro-San_Francisco_California.html
Thu 03 Mar 2016 04:11:11,SanFran,Benvenuti Pizzeria and Italian,NotFound,2,Italian,-122.42923,37.77227,"418 Haight Street, San Francisco, CA 94117-3506 ",4156264006,3552,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60713-d533136-Reviews-Benvenuti_Pizzeria_and_Italian-San_Francisco_California.html
Thu 03 Mar 2016 04:11:24,SanFran,The View,111,NotFound,American,-122.4046,37.785133,"55 4th Street, San Francisco, CA 94103 ",4159299333,173,4.3604,0,3,12,38,58,/Restaurant_Review-g60713-d4580987-Reviews-The_View-San_Francisco_California.html
Thu 03 Mar 2016 04:11:41,SanFran,Minnie Bell's Soul Movement,NotFound,NotFound,NotFound,-122.4141,37.75018,"2948 Folsom St, San Francisco, CA 94110-4028 ",4152739340,3749,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60713-d5007849-Reviews-Minnie_Bell_s_Soul_Movement-San_Francisco_California.html
Thu 03 Mar 2016 04:11:58,SanFran,Doc Ricketts,11,NotFound,American,-122.40468,37.79667,"124 Columbus Ave, San Francisco, CA 94133 ",4156496191,1019,4.7273,0,0,0,3,8,/Restaurant_Review-g60713-d7058898-Reviews-Doc_Ricketts-San_Francisco_California.html
Thu 03 Mar 2016 04:12:09,SanFran,SakeSan,7,NotFound,NotFound,-122.46601,37.78287,"626 Clement Street, San Francisco, CA 94118 ",NotFound,2531,3.8571,0,1,2,1,3,/Restaurant_Review-g60713-d5327240-Reviews-SakeSan-San_Francisco_California.html
