Time,City,Name,ReviewCount,Price,Cuisine,Longitude,Latitude,Address,PhoneNumber,Ranking,MeanRating,1,2,3,4,5,Link
Fri 04 Mar 2016 05:37:14,NewYork,Cucina & Co at Macy's,48,NotFound,American,-73.98888,40.75084,"151 West 34th Street, New York City, NY 10001 (Formerly In the cellar)",2128682388,3979,3.5833,4,5,8,21,10,/Restaurant_Review-g60763-d2251723-Reviews-Cucina_Co_at_Macy_s-New_York_City_New_York.html
Fri 04 Mar 2016 05:37:27,NewYork,Cosi,6,NotFound,NotFound,-73.993614,40.731224,"53 E 8th St, New York City, NY 10003 ",2122601507,7771,3.5,1,1,0,2,2,/Restaurant_Review-g60763-d5242695-Reviews-Cosi-New_York_City_New_York.html
Fri 04 Mar 2016 05:37:39,NewYork,Le Pain Quotidien,20,NotFound,French,-73.998314,40.74087,"124 Seventh Ave, Chelsea, New York City, NY 10011 ",212.255.2777,3559,3.95,1,0,3,11,5,/Restaurant_Review-g60763-d3974083-Reviews-Le_Pain_Quotidien-New_York_City_New_York.html
Fri 04 Mar 2016 05:37:57,NewYork,Luwam Restaurant,NotFound,NotFound,NotFound,-73.95751,40.814793,"545 W 125th St, New York City, NY 10027-3409 ",2126631729,10269,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60763-d4479451-Reviews-Luwam_Restaurant-New_York_City_New_York.html
Fri 04 Mar 2016 05:38:13,NewYork,Supper,163,3,Italian,-73.98527,40.722923,"156 E 2nd St., New York City, NY 10009 ",2124777600,894,4.2699,2,2,22,61,76,/Restaurant_Review-g60763-d457896-Reviews-Supper-New_York_City_New_York.html
Fri 04 Mar 2016 05:38:26,NewYork,La Sandwicherie,NotFound,2,Moroccan,-74.00645,40.7392,"842 Greenwich St, New York City, NY 10014 ",2126753281,10073,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60763-d423480-Reviews-La_Sandwicherie-New_York_City_New_York.html
Fri 04 Mar 2016 05:38:41,NewYork,Don's Bogam BBQ & Wine Bar,93,3,Asian,-73.98432,40.746857,"17 E. 32nd St., New York City, NY 10016  (5th Ave.) ",2126832200,1214,4.2473,0,5,9,37,42,/Restaurant_Review-g60763-d927143-Reviews-Don_s_Bogam_BBQ_Wine_Bar-New_York_City_New_York.html
Fri 04 Mar 2016 05:38:51,NewYork,Billy's Burgers,17,NotFound,NotFound,-73.8453,40.86544,"2707 Morgan Avenue, New York City, NY 10469 ",7185155097,4098,3.7647,1,1,2,10,3,/Restaurant_Review-g60763-d564913-Reviews-Billy_s_Burgers-New_York_City_New_York.html
Fri 04 Mar 2016 05:39:06,NewYork,Spice Grill,6,NotFound,NotFound,-73.98037,40.758003,"48 West 48 Street, New York City, NY 10036 ",2122213005,4781,4.1667,0,0,1,3,2,/Restaurant_Review-g60763-d8591813-Reviews-Spice_Grill-New_York_City_New_York.html
Fri 04 Mar 2016 05:39:25,NewYork,Bread To Go,NotFound,NotFound,NotFound,-74.006645,40.73132,"450 Hudson St, New York City, NY 10014-3781 ",2129291015,9087,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60763-d5007080-Reviews-Bread_To_Go-New_York_City_New_York.html
Fri 04 Mar 2016 05:39:31,NewYork,Lexington Brass,358,4,American,-73.972984,40.755287,"517 Lexington Ave, New York City, NY 10017-1204  (48th Street) ",2123925976,903,3.8156,14,25,76,141,102,/Restaurant_Review-g60763-d2627512-Reviews-Lexington_Brass-New_York_City_New_York.html
Fri 04 Mar 2016 05:39:50,NewYork,Smiler Gourmet Deli,1,NotFound,International,-73.99132,40.76023,"637 9th Avenue, New York, NY 10036, Stati Uniti (Smiler's), New York City, NY ",NotFound,4954,5.0,0,0,0,0,1,/Restaurant_Review-g60763-d2720601-Reviews-Smiler_Gourmet_Deli-New_York_City_New_York.html
Fri 04 Mar 2016 05:40:00,NewYork,PJ Clarkes,628,NotFound,American,-73.98266,40.771503,"44 West 63rd Street, Lincoln Square, New York City, NY 10023 ",2129579700,580,3.8822,27,38,105,270,188,/Restaurant_Review-g60763-d2328937-Reviews-PJ_Clarkes-New_York_City_New_York.html
